Nivel 7 y 8,Fixation,First_Operand,Second_Operand,Solution,Answer_correct,Correcto,Incorrecto
,Fixation_Point3.jpg,E6_450ms.wav,E3_450ms.wav,21,ArrowLeft,ArrowRight,ArrowLeft
,Fixation_Point3.jpg,E7_450ms.wav,E2_450ms.wav,14,ArrowRight,,
,Fixation_Point3.jpg,E5_450ms.wav,E2_450ms.wav,10,ArrowRight,,
,Fixation_Point3.jpg,E6_450ms.wav,E9_450ms.wav,45,ArrowLeft,,
,Fixation_Point3.jpg,E4_450ms.wav,E6_450ms.wav,18,ArrowLeft,,
,Fixation_Point3.jpg,E8_450ms.wav,E4_450ms.wav,32,ArrowRight,,
,Fixation_Point3.jpg,E3_450ms.wav,E8_450ms.wav,16,ArrowLeft,,
,Fixation_Point3.jpg,E6_450ms.wav,E5_450ms.wav,30,ArrowRight,,
,Fixation_Point3.jpg,E4_450ms.wav,E3_450ms.wav,15,ArrowLeft,,
,Fixation_Point3.jpg,E9_450ms.wav,E4_450ms.wav,40,ArrowLeft,,
,Fixation_Point3.jpg,E6_450ms.wav,E7_450ms.wav,42,ArrowRight,,
,Fixation_Point3.jpg,E5_450ms.wav,E9_450ms.wav,45,ArrowRight,,
,Fixation_Point3.jpg,E5_450ms.wav,E3_450ms.wav,15,ArrowRight,,
,Fixation_Point3.jpg,E9_450ms.wav,E3_450ms.wav,27,ArrowRight,,
,Fixation_Point3.jpg,E9_450ms.wav,E5_450ms.wav,50,ArrowLeft,,
,Fixation_Point3.jpg,E7_450ms.wav,E4_450ms.wav,32,ArrowLeft,,
,Fixation_Point3.jpg,E2_450ms.wav,E3_450ms.wav,6,ArrowRight,,
,Fixation_Point3.jpg,E8_450ms.wav,E6_450ms.wav,48,ArrowRight,,
,Fixation_Point3.jpg,E3_450ms.wav,E6_450ms.wav,18,ArrowRight,,
,Fixation_Point3.jpg,E2_450ms.wav,E4_450ms.wav,12,ArrowLeft,,
,Fixation_Point3.jpg,E9_450ms.wav,E6_450ms.wav,54,ArrowRight,,
,Fixation_Point3.jpg,E2_450ms.wav,E3_450ms.wav,9,ArrowLeft,,
,Fixation_Point3.jpg,E8_450ms.wav,E2_450ms.wav,16,ArrowRight,,
,Fixation_Point3.jpg,E9_450ms.wav,E4_450ms.wav,36,ArrowRight,,
,Fixation_Point3.jpg,E8_450ms.wav,E2_450ms.wav,14,ArrowLeft,,
,Fixation_Point3.jpg,E3_450ms.wav,E5_450ms.wav,20,ArrowLeft,,
,Fixation_Point3.jpg,E2_450ms.wav,E5_450ms.wav,10,ArrowRight,,
,Fixation_Point3.jpg,E3_450ms.wav,E7_450ms.wav,14,ArrowLeft,,
