Fixation,First_Operand,Second_Operand,Solution,Correct_answer
Fixation_Point3.jpg,S5_450ms.wav,S9_450ms.wav,45,ArrowRight
Fixation_Point3.jpg,S5_450ms.wav,S2_450ms.wav,10,ArrowRight
Fixation_Point3.jpg,S6_450ms.wav,S5_450ms.wav,30,ArrowRight
Fixation_Point3.jpg,S6_450ms.wav,S3_450ms.wav,21,ArrowLeft
Fixation_Point3.jpg,S6_450ms.wav,S7_450ms.wav,42,ArrowRight
Fixation_Point3.jpg,S9_450ms.wav,S4_450ms.wav,40,ArrowLeft
Fixation_Point3.jpg,S8_450ms.wav,S4_450ms.wav,32,ArrowRight
Fixation_Point3.jpg,S4_450ms.wav,S6_450ms.wav,18,ArrowLeft
Fixation_Point3.jpg,S6_450ms.wav,S9_450ms.wav,45,ArrowLeft
Fixation_Point3.jpg,S4_450ms.wav,S3_450ms.wav,15,ArrowLeft
Fixation_Point3.jpg,S3_450ms.wav,S8_450ms.wav,16,ArrowLeft
Fixation_Point3.jpg,S5_450ms.wav,S3_450ms.wav,15,ArrowRight
Fixation_Point3.jpg,S9_450ms.wav,S3_450ms.wav,27,ArrowRight
Fixation_Point3.jpg,S7_450ms.wav,S2_450ms.wav,14,ArrowRight
Fixation_Point3.jpg,S8_450ms.wav,S2_450ms.wav,14,ArrowLeft
Fixation_Point3.jpg,S2_450ms.wav,S5_450ms.wav,10,ArrowRight
Fixation_Point3.jpg,S3_450ms.wav,S6_450ms.wav,18,ArrowRight
Fixation_Point3.jpg,S9_450ms.wav,S4_450ms.wav,36,ArrowRight
Fixation_Point3.jpg,S8_450ms.wav,S6_450ms.wav,48,ArrowRight
Fixation_Point3.jpg,S7_450ms.wav,S4_450ms.wav,32,ArrowLeft
Fixation_Point3.jpg,S2_450ms.wav,S3_450ms.wav,9,ArrowLeft
Fixation_Point3.jpg,S9_450ms.wav,S5_450ms.wav,50,ArrowLeft
Fixation_Point3.jpg,S3_450ms.wav,S5_450ms.wav,20,ArrowLeft
Fixation_Point3.jpg,S2_450ms.wav,S3_450ms.wav,6,ArrowRight
Fixation_Point3.jpg,S3_450ms.wav,S7_450ms.wav,14,ArrowLeft
Fixation_Point3.jpg,S2_450ms.wav,S4_450ms.wav,12,ArrowLeft
Fixation_Point3.jpg,S9_450ms.wav,S6_450ms.wav,54,ArrowRight
Fixation_Point3.jpg,S8_450ms.wav,S2_450ms.wav,16,ArrowRight
